Timestamp,Temperature_C,DewPoint_C,Pressure_hPa
2019-03-23,9.5,3.11,844.5
2019-03-24,10.5,3.67,843.5
2019-03-25,12.22,3.17,842.6
2019-03-26,13.33,1.06,844.4
2019-03-27,13.89,2.61,845.5
2019-03-28,14.89,5.28,844.6
2019-03-29,15.11,6.89,842.5
2019-03-30,11.28,7.17,842.4
2019-03-31,12.83,5.78,842.8
2019-04-01,14.33,3.17,842.5
2019-04-02,15.33,1.61,843.2
2019-04-03,16.11,3.11,842.3
2019-04-04,17.44,5.33,843.1
2019-04-05,17.5,7.11,842.6
2019-04-06,16.22,6.44,842.5
2019-04-07,16.56,5.61,840.7
2019-04-08,17.06,6.06,840.9
2019-04-09,18.22,6.67,840.3
2019-04-10,17.39,9.72,842.8
2019-04-11,17.06,7.78,842.3
2019-04-12,15.28,10.22,843.7
2019-04-13,13.06,10.83,844.4
2019-04-14,14.06,10.67,845.0
2019-04-15,16.06,9.61,842.4
2019-04-16,13.83,10.11,841.0
2019-04-17,11.83,9.28,841.0
2019-04-18,14.11,7.44,842.4
2019-04-19,16.11,7.78,839.9
2019-04-20,17.5,9.17,838.3
2019-04-21,17.83,9.11,838.3
2019-04-22,19.39,8.61,840.1
2019-04-23,19.56,8.22,842.6
2019-04-24,13.89,11.33,846.1
2019-04-25,14.39,10.61,845.9
2019-04-26,13.89,9.39,845.2
2019-04-27,16.39,10.5,842.8
2019-04-28,18.17,9.17,841.0
2019-04-29,18.78,8.5,839.5
2019-04-30,14.28,9.89,841.1
2019-05-01,15.0,8.33,840.8
2019-05-02,12.33,7.83,841.1
2019-05-03,11.11,8.0,844.2
2019-05-04,14.06,7.5,843.8
2019-05-05,15.44,6.39,842.4
2019-05-06,16.83,3.78,842.0
2019-05-07,16.44,5.61,840.7
2019-05-08,17.56,8.22,842.0
2019-05-09,18.89,8.06,839.2
2019-05-10,16.89,9.22,840.9
2019-05-11,15.44,10.78,843.5
2019-05-12,17.39,11.17,841.1
2019-05-13,17.28,11.28,839.4
2019-05-14,17.78,10.17,839.1
2019-05-15,17.56,9.83,841.0
2019-05-16,15.89,10.94,840.9
2019-05-17,14.56,11.78,841.0
2019-05-18,17.28,11.44,840.8
2019-05-19,19.94,11.5,840.4
2019-05-20,17.56,10.33,844.6
2019-05-21,19.28,10.5,841.7
2019-05-22,19.89,9.72,840.2
2019-05-23,14.83,11.5,841.0
2019-05-24,14.33,12.28,840.2
2019-05-25,16.89,10.94,839.0
2019-05-26,19.28,10.78,838.2
2019-05-27,19.22,8.83,840.6
2019-05-28,21.22,9.11,839.8
2019-05-29,20.61,9.83,838.3
2019-05-30,23.28,9.33,838.2
2019-05-31,22.44,10.44,838.8
2019-06-01,22.28,9.61,839.5
2019-06-02,21.5,11.28,838.5
2019-06-03,21.39,11.61,839.6
2019-06-04,16.17,12.44,842.6
2019-06-05,17.44,11.39,841.6
2019-06-06,16.11,11.61,842.2
2019-06-07,18.0,12.56,842.2
2019-06-08,20.06,13.0,841.4
2019-06-09,21.94,12.67,839.4
2019-06-10,21.72,13.94,835.8
2019-06-11,17.78,13.28,838.5
2019-06-12,15.67,11.44,838.9
2019-06-13,20.5,12.17,839.1
2019-06-14,20.89,12.39,837.1
2019-06-15,19.0,12.17,838.3
2019-06-16,20.44,12.22,836.5
2019-06-17,20.56,11.56,835.4
2019-06-18,18.5,11.11,835.6
2019-06-19,20.89,11.33,836.0
2019-06-20,20.67,11.83,837.0
2019-06-21,20.06,12.11,839.2
2019-06-22,20.83,11.39,839.0
2019-06-23,18.83,12.94,840.4
2019-06-24,19.5,13.78,840.5
2019-06-25,21.22,12.11,839.8
2019-06-26,20.5,10.94,837.7
2019-06-27,18.83,12.28,836.5
2019-06-28,20.56,13.0,836.0
2019-06-29,23.0,13.17,834.3
2019-06-30,23.39,13.83,834.4
2019-07-01,19.78,13.39,836.4
2019-07-02,22.39,13.89,836.4
2019-07-03,25.22,15.33,835.1
2019-07-04,25.0,13.5,832.8
2019-07-05,25.06,15.22,831.1
2019-07-06,23.22,16.06,831.2
2019-07-07,24.94,17.72,831.2
2019-07-08,26.78,18.0,830.0
2019-07-09,25.33,18.72,829.5
2019-07-10,25.78,18.06,829.7
2019-07-11,25.56,16.22,830.3
2019-07-12,26.22,17.22,831.9
2019-07-13,26.11,16.94,831.3
2019-07-14,26.0,15.22,830.1
2019-07-15,23.78,15.56,830.3
2019-07-16,23.78,15.83,832.7
2019-07-17,26.17,16.56,833.0
2019-07-18,23.44,17.11,834.8
2019-07-19,23.17,15.72,836.4
2019-07-20,25.5,15.78,836.9
2019-07-21,26.56,17.11,835.8
2019-07-22,25.22,17.28,835.1
2019-07-23,26.72,18.5,833.4
2019-07-24,27.67,19.67,831.4
2019-07-25,22.0,18.89,833.5
2019-07-26,22.89,18.56,832.4
2019-07-27,21.94,18.44,833.8
2019-07-28,21.06,18.78,837.4
2019-07-29,23.78,18.61,837.0
2019-07-30,26.56,19.67,834.0
2019-07-31,25.78,20.5,832.4
2019-08-01,21.22,18.61,833.6
2019-08-02,24.5,17.67,832.3
2019-08-03,23.56,18.06,833.5
2019-08-04,25.94,18.72,832.1
2019-08-05,27.28,19.06,830.4
2019-08-06,26.39,19.06,829.7
2019-08-07,24.72,19.61,831.8
2019-08-08,,,
2019-08-09,,,
2019-08-10,23.56,19.39,835.3
2019-08-11,25.67,19.44,834.8
2019-08-12,26.67,19.44,833.4
2019-08-13,25.11,20.11,834.0
2019-08-14,21.22,19.17,836.8
2019-08-15,23.67,19.22,835.5
2019-08-16,23.28,17.94,834.1
2019-08-17,19.17,15.06,837.0
2019-08-18,21.11,15.17,836.9
2019-08-19,18.06,14.22,841.2
2019-08-20,21.0,13.89,839.9
2019-08-21,22.56,13.22,837.7
2019-08-22,21.78,13.78,837.3
2019-08-23,23.44,13.67,837.5
2019-08-24,23.78,15.06,836.7
2019-08-25,23.67,16.22,836.8
2019-08-26,22.61,17.0,838.4
2019-08-27,23.28,17.5,838.1
2019-08-28,23.56,18.44,839.3
2019-08-29,23.33,16.94,838.9
2019-08-30,23.44,17.56,836.4
2019-08-31,23.61,18.0,834.7
2019-09-01,24.78,17.11,835.7
2019-09-02,24.33,16.72,836.4
2019-09-03,24.61,16.56,835.0
2019-09-04,24.61,16.61,834.3
2019-09-05,24.83,16.56,835.1
2019-09-06,24.0,16.22,834.4
2019-09-07,21.28,14.72,836.0
2019-09-08,23.11,13.67,837.2
2019-09-09,22.28,13.11,835.8
2019-09-10,22.28,12.67,835.5
2019-09-11,22.5,12.28,837.3
2019-09-12,22.5,13.0,837.9
2019-09-13,22.56,11.94,838.5
2019-09-14,21.83,12.5,838.5
2019-09-15,21.11,11.5,838.3
2019-09-16,21.11,10.61,836.8
2019-09-17,21.06,9.11,838.1
2019-09-18,20.78,10.5,841.0
2019-09-19,21.56,11.61,841.4
2019-09-20,20.5,12.11,841.3
2019-09-21,20.22,12.11,841.0
2019-09-22,20.94,12.5,841.1
2019-09-23,21.06,14.0,841.8
2019-09-24,22.72,15.39,841.7
2019-09-25,23.0,15.56,843.1
2019-09-26,23.0,15.39,843.0
2019-09-27,22.0,15.06,841.7
2019-09-28,19.61,13.72,840.9
2019-09-29,20.06,12.67,841.5
2019-09-30,20.72,12.78,839.5
2019-10-01,16.5,11.28,841.9
2019-10-02,17.06,11.06,842.5
2019-10-03,15.78,9.94,842.5
2019-10-04,12.89,10.56,844.8
2019-10-05,14.28,9.83,844.5
2019-10-06,14.72,10.22,843.9
2019-10-07,13.33,9.5,847.0
2019-10-08,14.72,9.78,845.1
2019-10-09,15.17,8.56,843.7
2019-10-10,15.56,8.11,843.5
2019-10-11,15.11,8.61,842.0
2019-10-12,15.67,8.44,843.1
2019-10-13,15.89,8.94,843.3
2019-10-14,15.94,9.11,843.5
2019-10-15,16.5,9.11,844.3
2019-10-16,16.83,10.44,844.4
2019-10-17,16.06,10.17,844.8
2019-10-18,11.78,7.83,847.8
2019-10-19,12.83,7.06,848.3
2019-10-20,12.28,6.17,846.5
2019-10-21,12.22,6.67,844.5
2019-10-22,12.11,6.39,842.1
2019-10-23,12.67,5.44,841.9
2019-10-24,12.17,5.06,843.8
2019-10-25,11.33,4.72,844.1
2019-10-26,11.44,4.39,845.4
2019-10-27,11.56,4.5,845.0
2019-10-28,11.78,5.56,845.3
2019-10-29,12.28,6.5,845.1
2019-10-30,12.83,6.94,844.0
2019-10-31,14.0,6.83,844.6
2019-11-01,12.0,7.39,844.4
2019-11-02,13.22,6.72,845.2
2019-11-03,10.94,7.61,846.1
2019-11-04,11.0,5.67,845.9
2019-11-05,10.67,5.67,841.3
2019-11-06,5.11,3.17,840.8
2019-11-07,0.72,-0.06,842.4
2019-11-08,2.83,1.0,846.8
2019-11-09,3.28,1.0,850.4
2019-11-10,2.5,1.06,849.4
2019-11-11,2.33,0.33,848.4
2019-11-12,3.44,0.39,849.9
2019-11-13,3.94,1.11,850.5
2019-11-14,5.11,2.83,850.3
2019-11-15,5.56,3.72,848.3
2019-11-16,6.22,4.89,848.2
2019-11-17,8.5,5.44,849.3
2019-11-18,8.39,4.56,847.5
2019-11-19,7.94,3.11,846.2
2019-11-20,7.61,3.61,845.4
2019-11-21,6.67,4.67,848.4
2019-11-22,4.89,3.83,847.8
2019-11-23,6.39,4.5,847.4
2019-11-24,8.56,4.89,846.0
2019-11-25,7.94,4.06,845.1
2019-11-26,7.06,4.0,845.1
2019-11-27,3.61,2.22,843.8
2019-11-28,3.28,1.72,847.0
2019-11-29,5.33,2.17,846.8
2019-11-30,5.67,1.61,847.8
2019-12-01,4.22,-0.39,847.2
2019-12-02,4.39,-0.28,848.4
2019-12-03,3.39,-0.06,849.5
2019-12-04,3.39,-0.56,850.4
2019-12-05,3.83,-1.56,851.7
2019-12-06,2.61,-1.17,851.7
2019-12-07,0.67,-1.06,850.6
2019-12-08,-0.22,-2.17,850.2
2019-12-09,0.72,-0.83,847.9
2019-12-10,0.56,-0.56,844.9
2019-12-11,2.44,0.67,842.3
2019-12-12,2.56,1.39,840.4
2019-12-13,1.44,0.06,838.5
2019-12-14,2.44,0.94,844.7
2019-12-15,2.94,-0.72,847.2
2019-12-16,2.39,-2.22,848.7
2019-12-17,1.89,-4.11,850.7
2019-12-18,1.67,-3.44,849.1
2019-12-19,2.72,-2.0,844.7
2019-12-20,0.83,-0.94,843.2
2019-12-21,3.78,0.94,845.8
2019-12-22,4.67,-0.78,847.4
2019-12-23,3.94,-2.11,845.4
2019-12-24,2.22,-3.44,845.9
2019-12-25,0.94,-3.22,845.2
2019-12-26,1.39,-3.61,845.4
2019-12-27,-0.28,-4.39,847.1
2019-12-28,0.67,-4.72,847.1
2019-12-29,0.33,-3.94,846.6
2019-12-30,0.72,-3.72,844.4
2019-12-31,1.5,-2.17,845.0
2020-01-01,1.67,-2.78,848.0
2020-01-02,2.78,-2.56,849.4
2020-01-03,2.17,-2.67,844.4
2020-01-04,3.56,-0.44,842.3
2020-01-05,2.33,-1.28,844.9
2020-01-06,0.89,-0.22,843.8
2020-01-07,1.39,0.11,839.4
2020-01-08,1.67,-0.5,839.1
2020-01-09,1.56,-3.28,846.5
2020-01-10,0.61,-3.33,849.6
2020-01-11,0.0,-2.89,849.8
2020-01-12,0.44,-0.72,847.4
2020-01-13,0.5,-0.44,834.7
2020-01-14,1.28,-0.72,842.1
2020-01-15,0.89,0.0,843.7
2020-01-16,1.67,0.0,844.2
2020-01-17,1.56,-0.39,844.3
2020-01-18,1.61,-2.5,845.5
2020-01-19,1.56,-3.5,846.9
2020-01-20,1.72,-3.61,844.2
2020-01-21,1.78,-0.78,844.1
2020-01-22,2.33,-0.5,847.5
2020-01-23,2.94,-2.5,847.7
2020-01-24,1.22,-3.5,846.8
2020-01-25,1.33,-1.94,844.3
2020-01-26,3.22,-0.33,843.0
2020-01-27,4.61,-0.94,840.4
2020-01-28,2.22,0.56,838.3
2020-01-29,2.5,0.5,842.1
2020-01-30,2.56,-1.22,843.8
2020-01-31,2.33,-2.83,840.9
2020-02-01,3.56,-1.72,844.1
2020-02-02,1.83,-3.83,846.9
2020-02-03,1.28,-3.44,844.4
2020-02-04,2.44,-3.28,841.9
2020-02-05,3.17,-2.94,842.7
2020-02-06,3.5,-2.33,840.5
2020-02-07,3.39,-1.78,845.8
2020-02-08,3.56,-3.17,849.1
2020-02-09,3.5,-2.94,848.2
2020-02-10,4.78,-3.33,846.4
2020-02-11,4.11,-0.67,848.8
2020-02-12,5.22,2.22,850.0
2020-02-13,5.89,3.06,844.6
2020-02-14,6.22,3.44,843.5
2020-02-15,5.22,2.61,844.4
2020-02-16,7.17,1.33,845.5
2020-02-17,7.17,-0.61,847.1
2020-02-18,7.56,-0.56,843.3
2020-02-19,6.78,1.22,841.5
2020-02-20,5.83,3.39,845.4
2020-02-21,7.67,1.72,846.7
2020-02-22,7.89,0.28,848.2
2020-02-23,8.39,0.22,845.9
2020-02-24,8.83,-0.89,842.9
2020-02-25,8.5,-1.44,842.1
2020-02-26,10.44,-2.56,843.0
2020-02-27,11.22,-0.56,842.7
2020-02-28,7.72,3.72,843.5
2020-02-29,6.89,4.5,843.3
2020-03-01,8.78,4.0,843.9
2020-03-02,10.33,2.61,842.1
2020-03-03,11.61,2.06,839.7
2020-03-04,9.61,2.83,839.1
2020-03-05,7.0,4.06,839.1
2020-03-06,6.22,4.06,837.4
2020-03-07,7.5,3.83,838.4
2020-03-08,6.33,3.11,844.1
2020-03-09,7.5,2.11,842.8
2020-03-10,9.28,2.28,839.4
2020-03-11,10.67,0.89,837.7
2020-03-12,6.39,3.0,841.3
2020-03-13,6.61,2.94,843.4
2020-03-14,8.11,2.72,842.9
2020-03-15,10.0,2.33,844.5
2020-03-16,11.61,2.11,844.0
2020-03-17,12.28,2.61,844.5
2020-03-18,12.61,2.33,843.2
2020-03-19,12.67,2.5,840.6
2020-03-20,13.28,3.0,840.6
2020-03-21,9.83,5.28,842.1
2020-03-22,11.83,4.78,843.5
2020-03-23,13.44,3.83,842.2
2020-03-24,9.17,6.5,841.9
2020-03-25,9.17,6.5,844.3
2020-03-26,10.61,5.78,844.5
2020-03-27,7.17,5.56,840.8
2020-03-28,7.67,4.39,843.2
2020-03-29,11.0,4.39,843.3
2020-03-30,11.67,3.67,844.3
2020-03-31,10.11,6.06,842.6
2020-04-01,10.44,5.56,842.6
2020-04-02,9.06,3.78,842.8
2020-04-03,10.94,3.44,843.4
2020-04-04,13.56,4.28,842.6
2020-04-05,13.22,4.56,843.6
2020-04-06,12.67,6.5,844.8
2020-04-07,9.83,5.33,842.5
2020-04-08,10.67,5.56,844.6
2020-04-09,13.06,6.56,842.9
2020-04-10,13.67,8.39,845.1
2020-04-11,15.89,7.61,846.0
2020-04-12,16.83,7.83,843.1
2020-04-13,16.89,8.28,842.6
2020-04-14,16.22,9.28,843.4
2020-04-15,13.0,9.5,845.0
2020-04-16,15.0,9.22,842.3
2020-04-17,11.44,8.33,840.9
2020-04-18,9.83,7.72,841.7
2020-04-19,10.67,7.28,842.9
2020-04-20,12.72,6.78,842.3
2020-04-21,14.44,5.78,840.8
2020-04-22,15.44,6.06,839.9
2020-04-23,16.44,6.5,839.4
2020-04-24,18.11,7.39,837.9
2020-04-25,17.28,9.17,838.6
2020-04-26,18.56,9.0,839.6
2020-04-27,16.28,9.78,842.5
2020-04-28,17.56,9.83,842.8
2020-04-29,20.44,10.22,840.5
2020-04-30,20.39,10.61,841.1
2020-05-01,19.78,10.78,840.6
2020-05-02,16.78,10.22,841.9
2020-05-03,14.94,10.39,842.0
2020-05-04,16.89,10.5,841.6
2020-05-05,16.39,8.72,840.2
2020-05-06,14.56,6.39,840.8
2020-05-07,16.0,7.22,841.2
2020-05-08,19.11,9.11,839.7
2020-05-09,19.06,10.22,841.9
2020-05-10,17.61,11.28,842.5
2020-05-11,16.78,10.61,842.9
2020-05-12,17.61,10.61,841.6
2020-05-13,18.78,11.61,839.3
2020-05-14,13.61,10.56,841.1
2020-05-15,16.78,10.89,841.3
2020-05-16,19.33,10.0,838.9
2020-05-17,19.17,8.56,837.7
2020-05-18,15.89,8.72,838.6
2020-05-19,17.22,7.11,838.9
2020-05-20,18.28,8.39,838.1
2020-05-21,19.61,9.39,837.0
2020-05-22,20.61,10.06,837.6
2020-05-23,18.33,9.94,841.6
2020-05-24,19.5,11.67,840.9
2020-05-25,22.0,11.0,838.6
2020-05-26,22.61,10.0,837.6
2020-05-27,22.33,9.28,836.4
2020-05-28,19.28,11.17,836.8
2020-05-29,18.56,11.11,838.4
2020-05-30,16.39,11.67,839.3
2020-05-31,14.33,12.5,840.7
2020-06-01,17.44,11.06,840.0
2020-06-02,17.0,11.33,838.9
2020-06-03,18.5,11.83,838.0
2020-06-04,19.89,11.44,837.0
2020-06-05,20.78,12.33,834.6
2020-06-06,20.06,13.44,834.8
2020-06-07,21.56,13.94,835.4
2020-06-08,21.33,14.17,836.9
2020-06-09,21.0,12.5,838.4
2020-06-10,21.94,13.06,837.4
2020-06-11,19.39,12.56,838.0
2020-06-12,19.44,12.22,838.1
2020-06-13,19.28,12.94,837.7
2020-06-14,21.94,12.67,837.5
2020-06-15,21.94,11.5,835.5
2020-06-16,22.56,11.83,833.7
2020-06-17,23.5,13.17,833.0
2020-06-18,24.28,12.61,834.0
2020-06-19,21.5,12.11,836.5
2020-06-20,21.94,11.67,837.0
2020-06-21,22.56,13.44,835.5
2020-06-22,24.28,14.28,834.3
2020-06-23,25.0,15.0,836.6
2020-06-24,25.06,14.61,836.9
2020-06-25,23.56,15.0,834.9
2020-06-26,24.06,15.44,833.8
2020-06-27,25.78,14.28,833.3
2020-06-28,22.39,14.44,835.0
2020-06-29,22.67,14.22,837.1
2020-06-30,24.56,13.67,836.0
2020-07-01,25.61,15.17,834.5
2020-07-02,27.17,14.78,833.0
2020-07-03,26.83,14.67,832.8
2020-07-04,25.67,11.78,831.9
2020-07-05,24.33,11.72,832.1
2020-07-06,22.72,11.44,834.2
2020-07-07,24.39,12.61,835.9
2020-07-08,25.83,15.72,835.9
2020-07-09,26.17,16.06,832.5
2020-07-10,24.94,13.78,831.8
2020-07-11,23.89,12.33,831.6
2020-07-12,22.83,13.17,833.4
2020-07-13,23.61,14.0,833.7
2020-07-14,25.28,13.39,834.7
2020-07-15,25.44,13.0,834.6
2020-07-16,24.61,15.89,834.7
2020-07-17,25.06,16.22,835.5
2020-07-18,26.83,16.39,835.6
2020-07-19,25.28,16.61,832.8
2020-07-20,24.56,14.61,830.6
2020-07-21,18.33,14.5,835.8
2020-07-22,21.28,13.5,836.4
2020-07-23,23.94,15.17,834.0
2020-07-24,26.39,17.0,837.0
2020-07-25,25.72,18.0,838.6
2020-07-26,26.11,17.89,838.2
2020-07-27,26.83,17.28,835.1
2020-07-28,27.39,16.94,833.8
2020-07-29,25.22,16.11,834.0
2020-07-30,25.78,16.78,835.9
2020-07-31,25.06,16.78,834.7
2020-08-01,24.89,17.22,835.3
2020-08-02,26.56,15.78,833.2
2020-08-03,25.5,14.28,829.7
2020-08-04,25.83,15.72,829.2
2020-08-05,25.83,15.94,832.0
2020-08-06,26.44,17.28,835.7
2020-08-07,28.61,18.11,834.6
2020-08-08,28.0,18.83,832.1
2020-08-09,24.78,19.67,832.7
2020-08-10,25.72,19.28,833.3
2020-08-11,27.0,17.61,832.3
2020-08-12,28.5,17.44,831.1
2020-08-13,26.94,18.67,830.5
2020-08-14,27.83,18.39,830.7
2020-08-15,28.28,18.0,830.8
2020-08-16,29.11,18.11,830.8
2020-08-17,29.11,19.11,831.3
2020-08-18,24.89,18.67,833.3
2020-08-19,24.94,17.11,832.4
2020-08-20,22.39,18.33,835.4
2020-08-21,21.5,17.72,837.2
2020-08-22,23.83,15.0,836.4
2020-08-23,24.94,17.17,834.4
2020-08-24,27.44,18.28,834.0
2020-08-25,27.17,18.67,835.0
2020-08-26,19.78,18.17,839.4
2020-08-27,18.11,16.89,838.1
2020-08-28,19.72,16.78,836.8
2020-08-29,22.61,16.83,836.2
2020-08-30,22.5,16.56,836.6
2020-08-31,19.44,17.0,839.0
2020-09-01,22.5,17.72,838.5
2020-09-02,23.83,17.72,839.9
2020-09-03,22.94,17.33,841.2
2020-09-04,19.11,17.06,841.8
2020-09-05,21.67,17.33,838.8
2020-09-06,21.33,16.22,837.5
2020-09-07,20.22,14.33,839.7
2020-09-08,21.33,14.89,839.3
2020-09-09,22.5,14.39,838.6
2020-09-10,20.17,14.06,836.2
2020-09-11,20.22,14.17,837.5
2020-09-12,21.44,13.11,839.5
2020-09-13,21.83,13.78,839.2
2020-09-14,22.17,14.0,838.3
2020-09-15,21.89,13.78,838.2
2020-09-16,21.56,11.83,838.6
2020-09-17,20.89,11.61,837.5
2020-09-18,20.56,11.5,837.0
2020-09-19,19.83,9.44,837.5
2020-09-20,19.17,9.06,837.6
2020-09-21,19.22,10.28,837.0
2020-09-22,19.61,10.78,836.2
2020-09-23,19.56,10.67,835.8
2020-09-24,19.5,9.67,837.4
2020-09-25,19.28,7.78,836.7
2020-09-26,16.56,7.61,838.1
2020-09-27,16.06,9.06,840.9
2020-09-28,17.06,9.83,840.7
2020-09-29,17.22,7.89,839.8
2020-09-30,16.61,7.56,839.1
2020-10-01,16.78,7.83,838.9
2020-10-02,16.5,7.61,839.0
2020-10-03,16.78,8.11,840.0
2020-10-04,16.39,6.83,840.7
2020-10-05,15.83,7.11,841.0
2020-10-06,15.78,6.78,840.8
2020-10-07,15.78,7.33,842.4
2020-10-08,15.83,7.17,842.6
2020-10-09,15.83,6.44,842.7
2020-10-10,15.28,6.44,842.0
2020-10-11,14.44,5.67,839.8
2020-10-12,16.06,5.94,838.8
2020-10-13,15.56,5.61,840.0
2020-10-14,14.72,6.61,840.5
2020-10-15,15.28,6.61,840.5
2020-10-16,13.56,7.5,840.4
2020-10-17,14.22,6.94,840.5
2020-10-18,14.22,6.17,840.2
2020-10-19,13.56,6.22,839.7
2020-10-20,13.0,5.83,839.2
2020-10-21,13.72,5.06,840.0
2020-10-22,12.72,5.44,839.6
2020-10-23,13.39,5.0,839.5
2020-10-24,12.17,3.89,840.0
2020-10-25,9.06,3.06,843.7
2020-10-26,9.5,2.33,845.5
2020-10-27,9.67,2.44,843.8
2020-10-28,9.5,2.56,843.5
2020-10-29,10.17,1.5,843.8
2020-10-30,9.28,0.83,845.0
2020-10-31,10.83,2.11,845.9
2020-11-01,9.83,4.94,846.4
2020-11-02,10.61,4.33,845.9
2020-11-03,10.39,3.5,844.2
2020-11-04,10.33,3.61,842.7
2020-11-05,10.67,1.89,844.7
2020-11-06,8.94,1.67,847.7
2020-11-07,8.39,0.33,848.2
2020-11-08,7.5,0.33,847.9
2020-11-09,7.17,0.83,846.1
2020-11-10,6.83,0.83,846.3
2020-11-11,6.56,1.28,847.8
2020-11-12,6.5,1.5,848.3
2020-11-13,7.72,1.61,846.3
2020-11-14,7.28,3.61,844.9
2020-11-15,5.28,3.5,843.1
2020-11-16,5.72,3.44,845.8
2020-11-17,7.28,1.39,844.6
2020-11-18,5.72,0.17,841.0
2020-11-19,4.94,0.22,841.2
2020-11-20,5.33,0.67,844.7
2020-11-21,5.22,-0.11,844.0
2020-11-22,4.72,-1.39,845.5
2020-11-23,2.22,1.22,845.1
2020-11-24,3.56,2.0,845.4
2020-11-25,3.94,2.06,844.7
2020-11-26,5.0,2.11,849.4
2020-11-27,5.44,0.72,853.7
2020-11-28,3.94,0.22,851.8
2020-11-29,5.67,2.17,849.0
2020-11-30,5.72,2.44,848.0
2020-12-01,6.39,2.89,847.6
2020-12-02,5.17,2.11,846.5
2020-12-03,4.0,1.33,844.6
2020-12-04,5.61,1.89,843.6
2020-12-05,6.39,3.5,843.9
2020-12-06,7.22,3.67,847.0
2020-12-07,6.78,4.11,847.7
2020-12-08,4.5,3.11,846.4
2020-12-09,5.67,3.5,845.5
2020-12-10,6.22,3.89,845.7
2020-12-11,6.0,2.83,842.6
2020-12-12,3.17,0.83,841.4
2020-12-13,3.44,0.72,841.5
2020-12-14,4.06,-0.83,841.4
2020-12-15,3.11,-2.72,842.0
2020-12-16,1.61,-4.22,844.4
2020-12-17,1.0,-5.0,846.3
2020-12-18,0.33,-5.17,847.5
2020-12-19,0.11,-4.28,849.5
2020-12-20,0.94,-3.39,849.9
2020-12-21,1.83,-3.06,846.9
2020-12-22,1.44,-3.94,845.1
2020-12-23,1.33,-3.33,843.6
2020-12-24,2.17,-2.17,843.1
2020-12-25,1.61,-2.61,845.7
2020-12-26,1.33,-2.72,843.0
2020-12-27,2.94,-3.33,836.6
